reference,value,group,status,footprint,side,x_mm,y_mm,rotation_deg,courtyard_bbox_mm,courtyard_bbox_area_mm2
F1,Input protection size proxy,Power allowance,Package proxy; value/part not selected,Fuse:Fuse_1206_3216Metric,Top,10.5,55,0,"[8.22, 53.87, 12.78, 56.13]",10.306
L1,Inductor value/current TBD,Power allowance,Package proxy; value/part not selected,Inductor_SMD:L_Coilcraft_XAL6030-XXX,Top,21,47.5,0,"[17.47, 43.87, 24.53, 51.13]",51.256
L2,Inductor value/current TBD,Power allowance,Package proxy; value/part not selected,Inductor_SMD:L_Coilcraft_XAL6030-XXX,Top,40,47.5,0,"[36.47, 43.87, 43.53, 51.13]",51.256
L3,Inductor value/current TBD,Power allowance,Package proxy; value/part not selected,Inductor_SMD:L_Coilcraft_XAL6030-XXX,Top,21,60.5,0,"[17.47, 56.87, 24.53, 64.13]",51.256
L4,Inductor value/current TBD,Power allowance,Package proxy; value/part not selected,Inductor_SMD:L_Coilcraft_XAL6030-XXX,Top,40,60.5,0,"[36.47, 56.87, 43.53, 64.13]",51.256
Q1,Si7232DN dual MOSFET candidate,Power allowance,ONE dual package contains TWO switches; exact ratings/thermal review TBD,Package_SO:Vishay_PowerPAK_1212-8_Dual,Top,24.5,54,0,"[22.32, 52.22, 26.68, 55.78]",15.522
C1,680uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X,Top,29.4,43,0,"[24.99, 40.6, 33.81, 45.4]",42.336
C2,100uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_1210_3225Metric,Bottom,19,40.5,0,"[16.7, 38.9, 21.3, 42.1]",14.72
C3,47uF,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,24.2,40.5,0,"[21.9, 38.9, 26.5, 42.1]",14.72
C4,47uF,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,29.4,40.5,0,"[27.1, 38.9, 31.7, 42.1]",14.72
C5,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,34.6,40.5,0,"[32.3, 38.9, 36.9, 42.1]",14.72
C6,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,39.8,40.5,0,"[37.5, 38.9, 42.1, 42.1]",14.72
C7,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,24.2,44.3,0,"[21.9, 42.7, 26.5, 45.9]",14.72
C8,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,29.4,44.3,0,"[27.1, 42.7, 31.7, 45.9]",14.72
C9,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,34.6,44.3,0,"[32.3, 42.7, 36.9, 45.9]",14.72
C10,47/100uF bulk allowance,FPGA decoupling allowance,2 fixed bulk + 6 user-bank bulk positions; sharing can reduce count,Capacitor_SMD:C_1210_3225Metric,Bottom,39.8,44.3,0,"[37.5, 42.7, 42.1, 45.9]",14.72
C11,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,15.6,18.0,0,"[13.9, 17.02, 17.3, 18.98]",6.664
C12,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,19.2,18.0,0,"[17.5, 17.02, 20.9, 18.98]",6.664
C13,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.8,18.0,0,"[21.1, 17.02, 24.5, 18.98]",6.664
C14,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,26.4,18.0,0,"[24.7, 17.02, 28.1, 18.98]",6.664
C15,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,30.0,18.0,0,"[28.3, 17.02, 31.7, 18.98]",6.664
C16,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,33.6,18.0,0,"[31.9, 17.02, 35.3, 18.98]",6.664
C17,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,37.2,18.0,0,"[35.5, 17.02, 38.9, 18.98]",6.664
C18,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,40.8,18.0,0,"[39.1, 17.02, 42.5, 18.98]",6.664
C19,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,44.4,18.0,0,"[42.7, 17.02, 46.1, 18.98]",6.664
C20,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,15.6,20.2,0,"[13.9, 19.22, 17.3, 21.18]",6.664
C21,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,19.2,20.2,0,"[17.5, 19.22, 20.9, 21.18]",6.664
C22,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.8,20.2,0,"[21.1, 19.22, 24.5, 21.18]",6.664
C23,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,26.4,20.2,0,"[24.7, 19.22, 28.1, 21.18]",6.664
C24,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,30.0,20.2,0,"[28.3, 19.22, 31.7, 21.18]",6.664
C25,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,33.6,20.2,0,"[31.9, 19.22, 35.3, 21.18]",6.664
C26,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,37.2,20.2,0,"[35.5, 19.22, 38.9, 21.18]",6.664
C27,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,40.8,20.2,0,"[39.1, 19.22, 42.5, 21.18]",6.664
C28,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,44.4,20.2,0,"[42.7, 19.22, 46.1, 21.18]",6.664
C29,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,15.6,22.4,0,"[13.9, 21.42, 17.3, 23.38]",6.664
C30,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,19.2,22.4,0,"[17.5, 21.42, 20.9, 23.38]",6.664
C31,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.8,22.4,0,"[21.1, 21.42, 24.5, 23.38]",6.664
C32,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,26.4,22.4,0,"[24.7, 21.42, 28.1, 23.38]",6.664
C33,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,30.0,22.4,0,"[28.3, 21.42, 31.7, 23.38]",6.664
C34,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,33.6,22.4,0,"[31.9, 21.42, 35.3, 23.38]",6.664
C35,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,37.2,22.4,0,"[35.5, 21.42, 38.9, 23.38]",6.664
C36,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,40.8,22.4,0,"[39.1, 21.42, 42.5, 23.38]",6.664
C37,4.7uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,44.4,22.4,0,"[42.7, 21.42, 46.1, 23.38]",6.664
C38,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,24.6,0,"[14.12, 23.87, 17.08, 25.33]",4.322
C39,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,19.2,24.6,0,"[17.72, 23.87, 20.68, 25.33]",4.322
C40,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.8,24.6,0,"[21.32, 23.87, 24.28, 25.33]",4.322
C41,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,26.4,24.6,0,"[24.92, 23.87, 27.88, 25.33]",4.322
C42,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,30.0,24.6,0,"[28.52, 23.87, 31.48, 25.33]",4.322
C43,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,33.6,24.6,0,"[32.12, 23.87, 35.08, 25.33]",4.322
C44,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,37.2,24.6,0,"[35.72, 23.87, 38.68, 25.33]",4.322
C45,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,40.8,24.6,0,"[39.32, 23.87, 42.28, 25.33]",4.322
C46,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,44.4,24.6,0,"[42.92, 23.87, 45.88, 25.33]",4.322
C47,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,26.8,0,"[14.12, 26.07, 17.08, 27.53]",4.322
C48,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,19.2,26.8,0,"[17.72, 26.07, 20.68, 27.53]",4.322
C49,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.8,26.8,0,"[21.32, 26.07, 24.28, 27.53]",4.322
C50,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,26.4,26.8,0,"[24.92, 26.07, 27.88, 27.53]",4.322
C51,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,30.0,26.8,0,"[28.52, 26.07, 31.48, 27.53]",4.322
C52,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,33.6,26.8,0,"[32.12, 26.07, 35.08, 27.53]",4.322
C53,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,37.2,26.8,0,"[35.72, 26.07, 38.68, 27.53]",4.322
C54,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,40.8,26.8,0,"[39.32, 26.07, 42.28, 27.53]",4.322
C55,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,44.4,26.8,0,"[42.92, 26.07, 45.88, 27.53]",4.322
C56,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,29.0,0,"[14.12, 28.27, 17.08, 29.73]",4.322
C57,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,19.2,29.0,0,"[17.72, 28.27, 20.68, 29.73]",4.322
C58,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.8,29.0,0,"[21.32, 28.27, 24.28, 29.73]",4.322
C59,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,26.4,29.0,0,"[24.92, 28.27, 27.88, 29.73]",4.322
C60,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,30.0,29.0,0,"[28.52, 28.27, 31.48, 29.73]",4.322
C61,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,33.6,29.0,0,"[32.12, 28.27, 35.08, 29.73]",4.322
C62,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,37.2,29.0,0,"[35.72, 28.27, 38.68, 29.73]",4.322
C63,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,40.8,29.0,0,"[39.32, 28.27, 42.28, 29.73]",4.322
C64,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,44.4,29.0,0,"[42.92, 28.27, 45.88, 29.73]",4.322
C65,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,31.200000000000003,0,"[14.12, 30.47, 17.08, 31.93]",4.322
C66,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,19.2,31.200000000000003,0,"[17.72, 30.47, 20.68, 31.93]",4.322
C67,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.8,31.200000000000003,0,"[21.32, 30.47, 24.28, 31.93]",4.322
C68,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,26.4,31.200000000000003,0,"[24.92, 30.47, 27.88, 31.93]",4.322
C69,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,30.0,31.200000000000003,0,"[28.52, 30.47, 31.48, 31.93]",4.322
C70,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,33.6,31.200000000000003,0,"[32.12, 30.47, 35.08, 31.93]",4.322
C71,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,37.2,31.200000000000003,0,"[35.72, 30.47, 38.68, 31.93]",4.322
C72,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,40.8,31.200000000000003,0,"[39.32, 30.47, 42.28, 31.93]",4.322
C73,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,44.4,31.200000000000003,0,"[42.92, 30.47, 45.88, 31.93]",4.322
C74,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,33.400000000000006,0,"[14.12, 32.67, 17.08, 34.13]",4.322
C75,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,19.2,33.400000000000006,0,"[17.72, 32.67, 20.68, 34.13]",4.322
C76,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.8,33.400000000000006,0,"[21.32, 32.67, 24.28, 34.13]",4.322
C77,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,26.4,33.400000000000006,0,"[24.92, 32.67, 27.88, 34.13]",4.322
C78,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,30.0,33.400000000000006,0,"[28.52, 32.67, 31.48, 34.13]",4.322
C79,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,33.6,33.400000000000006,0,"[32.12, 32.67, 35.08, 34.13]",4.322
C80,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,37.2,33.400000000000006,0,"[35.72, 32.67, 38.68, 34.13]",4.322
C81,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,40.8,33.400000000000006,0,"[39.32, 32.67, 42.28, 34.13]",4.322
C82,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,44.4,33.400000000000006,0,"[42.92, 32.67, 45.88, 34.13]",4.322
C83,0.47uF,FPGA decoupling allowance,AMD reference capacitance; exact component ratings TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,15.6,35.6,0,"[14.12, 34.87, 17.08, 36.33]",4.322
C84,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,18.7,47.7,0,"[17.0, 46.72, 20.4, 48.68]",6.664
C85,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.3,47.7,0,"[20.6, 46.72, 24.0, 48.68]",6.664
C86,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,18.7,50.0,0,"[17.0, 49.02, 20.4, 50.98]",6.664
C87,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.3,50.0,0,"[20.6, 49.02, 24.0, 50.98]",6.664
C88,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,18.7,52.3,0,"[17.0, 51.32, 20.4, 53.28]",6.664
C89,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.3,52.3,0,"[20.6, 51.32, 24.0, 53.28]",6.664
C90,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,38.2,47.7,0,"[36.5, 46.72, 39.9, 48.68]",6.664
C91,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,41.8,47.7,0,"[40.1, 46.72, 43.5, 48.68]",6.664
C92,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,38.2,50.0,0,"[36.5, 49.02, 39.9, 50.98]",6.664
C93,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,41.8,50.0,0,"[40.1, 49.02, 43.5, 50.98]",6.664
C94,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,38.2,52.3,0,"[36.5, 51.32, 39.9, 53.28]",6.664
C95,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,41.8,52.3,0,"[40.1, 51.32, 43.5, 53.28]",6.664
C96,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,18.7,59.7,0,"[17.0, 58.72, 20.4, 60.68]",6.664
C97,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.3,59.7,0,"[20.6, 58.72, 24.0, 60.68]",6.664
C98,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,18.7,62.0,0,"[17.0, 61.02, 20.4, 62.98]",6.664
C99,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0805_2012Metric,Bottom,22.3,62.0,0,"[20.6, 61.02, 24.0, 62.98]",6.664
C100,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,18.7,64.3,0,"[17.22, 63.57, 20.18, 65.03]",4.322
C101,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,22.3,64.3,0,"[20.82, 63.57, 23.78, 65.03]",4.322
C102,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,38.2,59.7,0,"[36.72, 58.97, 39.68, 60.43]",4.322
C103,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,41.8,59.7,0,"[40.32, 58.97, 43.28, 60.43]",4.322
C104,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,38.2,62.0,0,"[36.72, 61.27, 39.68, 62.73]",4.322
C105,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,41.8,62.0,0,"[40.32, 61.27, 43.28, 62.73]",4.322
C106,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,38.2,64.3,0,"[36.72, 63.57, 39.68, 65.03]",4.322
C107,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_0603_1608Metric,Bottom,41.8,64.3,0,"[40.32, 63.57, 43.28, 65.03]",4.322
C108,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_1210_3225Metric,Top,9,48,0,"[6.7, 46.4, 11.3, 49.6]",14.72
C109,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_1210_3225Metric,Top,9,51.8,0,"[6.7, 50.2, 11.3, 53.4]",14.72
C110,Power support TBD,Power allowance,One of 27 capacitor footprints reserved; exact quantity and values TBD,Capacitor_SMD:C_1210_3225Metric,Top,17,54.2,0,"[14.7, 52.6, 19.3, 55.8]",14.72
R1,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,26.8,48.5,0,"[25.87, 48.03, 27.73, 48.97]",1.748
R2,Power support TBD,Power allowance,Package proxy; value/part not selected,Resistor_SMD:R_0402_1005Metric,Bottom,28.8,48.5,0,"[27.87, 48.03, 29.73, 48.97]",1.748
