net_name,direction_relative_to_fpga,group,sharing_scope,fpga_ball,connector_contact,status,notes
ASIC6_DATA4,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA5,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA6,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA7,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_DATA8,Input,Recording data,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_CLK32MHz_Out,Input,Recording timing,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_READ,Input,Recording timing,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC6_SYNC,Input,Recording timing,ASIC 6,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA1,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA2,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA3,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA4,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA5,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA6,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA7,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_DATA8,Input,Recording data,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_CLK32MHz_Out,Input,Recording timing,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_READ,Input,Recording timing,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC7_SYNC,Input,Recording timing,ASIC 7,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA1,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA2,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA3,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA4,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA5,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA6,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA7,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_DATA8,Input,Recording data,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_CLK32MHz_Out,Input,Recording timing,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_READ,Input,Recording timing,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
ASIC8_SYNC,Input,Recording timing,ASIC 8,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
CHIP_RESET_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
AC_IN_SHARED,TBD: verify circuit role,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Included in the confirmed 117 count; verify electrical role/voltage before selecting an I/O standard
IMP_TST_SHARED,TBD: verify circuit role,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Included in the confirmed 117 count; verify electrical role/voltage before selecting an I/O standard; screenshot spelling retained; earlier documents use IMP_TEST
FE_RESET_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
SPI_LATCH_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
STIM_CLK_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
STIM_START_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
STIM_EN_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
STIM_CHB_SHARED,Output,Shared control,One shared net across applicable ASICs,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,
BOARD1_CLK,Output,Board recording clock,One output for board slot 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Screenshot calls this CLK; mapping to ASIC CLK32MHz_In follows existing clock context; physical board identity TBD
BOARD2_CLK,Output,Board recording clock,One output for board slot 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Screenshot calls this CLK; mapping to ASIC CLK32MHz_In follows existing clock context; physical board identity TBD
BOARD3_CLK,Output,Board recording clock,One output for board slot 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Screenshot calls this CLK; mapping to ASIC CLK32MHz_In follows existing clock context; physical board identity TBD
BOARD4_CLK,Output,Board recording clock,One output for board slot 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Screenshot calls this CLK; mapping to ASIC CLK32MHz_In follows existing clock context; physical board identity TBD
STIM_CHIP1_SPI_DL,Output,Stimulation-chip programming,Stimulating ASIC slot 1; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP1_SPI_DR,Output,Stimulation-chip programming,Stimulating ASIC slot 1; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP2_SPI_DL,Output,Stimulation-chip programming,Stimulating ASIC slot 2; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP2_SPI_DR,Output,Stimulation-chip programming,Stimulating ASIC slot 2; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP3_SPI_DL,Output,Stimulation-chip programming,Stimulating ASIC slot 3; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP3_SPI_DR,Output,Stimulation-chip programming,Stimulating ASIC slot 3; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP4_SPI_DL,Output,Stimulation-chip programming,Stimulating ASIC slot 4; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
STIM_CHIP4_SPI_DR,Output,Stimulation-chip programming,Stimulating ASIC slot 4; independent,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical ASIC identity TBD; DL/DR labels retained from screenshot
NONSTIM_BOARD1_SPI_DL,Output,Non-stimulation-board programming,Non-stimulating board slot 1; shared within that board,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical board identity TBD; one left and one right data signal per non-stimulating board
NONSTIM_BOARD1_SPI_DR,Output,Non-stimulation-board programming,Non-stimulating board slot 1; shared within that board,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical board identity TBD; one left and one right data signal per non-stimulating board
NONSTIM_BOARD2_SPI_DL,Output,Non-stimulation-board programming,Non-stimulating board slot 2; shared within that board,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical board identity TBD; one left and one right data signal per non-stimulating board
NONSTIM_BOARD2_SPI_DR,Output,Non-stimulation-board programming,Non-stimulating board slot 2; shared within that board,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Physical board identity TBD; one left and one right data signal per non-stimulating board
BOARD1_SPI_CLK,Output,Board SPI clock,One output for board slot 1,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Added by Gerald's 10:48 reply; omitted from 113-pin sketch
BOARD2_SPI_CLK,Output,Board SPI clock,One output for board slot 2,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Added by Gerald's 10:48 reply; omitted from 113-pin sketch
BOARD3_SPI_CLK,Output,Board SPI clock,One output for board slot 3,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Added by Gerald's 10:48 reply; omitted from 113-pin sketch
BOARD4_SPI_CLK,Output,Board SPI clock,One output for board slot 4,TBD,TBD,117-signal baseline confirmed by supplied Gerald/Zitong thread; physical mapping pending,Added by Gerald's 10:48 reply; omitted from 113-pin sketch
