connector,contact,signal,direction_relative_to_FPGA,FPGA_ball,status,electrical_requirement
J5,46,AC_IN_SHARED,TBD: verify circuit role,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,Verify circuit role and voltage before FPGA connection
J5,47,IMP_TST_SHARED,TBD: verify circuit role,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,Verify circuit role and voltage before FPGA connection
J5,48,FE_RESET_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,49,SPI_LATCH_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,50,STIM_CLK_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,51,STIM_START_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,52,STIM_EN_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,53,STIM_CHB_SHARED,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,54,BOARD1_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,55,BOARD2_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,56,BOARD3_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,57,BOARD4_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,58,BOARD1_SPI_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,59,BOARD2_SPI_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,60,BOARD3_SPI_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J5,G,GND,Ground reference,GND plane,PROPOSED,Connect all four blade solder lands to board ground; not one of the 60 signal contacts
J6,1,ASIC5_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,2,ASIC5_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,3,ASIC5_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,4,ASIC5_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,5,ASIC5_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,6,ASIC5_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,7,ASIC5_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,8,ASIC5_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,9,ASIC5_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,10,ASIC5_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,11,ASIC5_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,12,ASIC6_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,13,ASIC6_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,14,ASIC6_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,15,ASIC6_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,16,ASIC6_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,17,ASIC6_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,18,ASIC6_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,19,ASIC6_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,20,ASIC6_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,21,ASIC6_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,22,ASIC6_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,23,ASIC7_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,24,ASIC7_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,25,ASIC7_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,26,ASIC7_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,27,ASIC7_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,28,ASIC7_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,29,ASIC7_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,30,ASIC7_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,31,ASIC7_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,32,ASIC7_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,33,ASIC7_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,34,ASIC8_DATA1,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,35,ASIC8_DATA2,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,36,ASIC8_DATA3,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,37,ASIC8_DATA4,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,38,ASIC8_DATA5,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,39,ASIC8_DATA6,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,40,ASIC8_DATA7,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,41,ASIC8_DATA8,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,42,ASIC8_CLK32MHz_Out,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,43,ASIC8_READ,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,44,ASIC8_SYNC,Input,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,45,BOARD4_SPI_CLK,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,46,STIM_CHIP1_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,47,STIM_CHIP1_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,48,STIM_CHIP2_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,49,STIM_CHIP2_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,50,STIM_CHIP3_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,51,STIM_CHIP3_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,52,STIM_CHIP4_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,53,STIM_CHIP4_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,54,NONSTIM_BOARD1_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,55,NONSTIM_BOARD1_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,56,NONSTIM_BOARD2_SPI_DL,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,57,NONSTIM_BOARD2_SPI_DR,Output,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,1.5 V interface proposal; timing/limits require ASIC source verification
J6,58,RESERVED_UNCONNECTED,Reserved,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,No power or signal assignment
J6,59,RESERVED_UNCONNECTED,Reserved,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,No power or signal assignment
J6,60,RESERVED_UNCONNECTED,Reserved,TBD,PROPOSED CONTACT ALLOCATION - NOT RELEASED,No power or signal assignment
J6,G,GND,Ground reference,GND plane,PROPOSED,Connect all four blade solder lands to board ground; not one of the 60 signal contacts
