Reference,Pin,Pin name,Group,Disposition,Owner/status
U1,N9,DXN_0,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U21,IO_L4N_T0_D05_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P19,IO_L5P_T0_D06_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,R19,IO_L5N_T0_D07_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T20,IO_L6N_T0_D08_VREF_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W21,IO_L7P_T1_D09_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W22,IO_L7N_T1_D10_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA20,IO_L8P_T1_D11_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA21,IO_L8N_T1_D12_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y21,IO_L9P_T1_DQS_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y22,IO_L9N_T1_DQS_D13_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB21,IO_L10P_T1_D14_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB22,IO_L10N_T1_D15_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U20,IO_L11P_T1_SRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V20,IO_L11N_T1_SRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W19,IO_L12P_T1_MRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W20,IO_L12N_T1_MRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y18,IO_L13P_T2_MRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,Y19,IO_L13N_T2_MRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V18,IO_L14P_T2_SRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V19,IO_L14N_T2_SRCC_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA19,IO_L15P_T2_DQS_RDWR_B_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB20,IO_L15N_T2_DQS_DOUT_CSO_B_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,V17,IO_L16P_T2_CSI_B_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,W17,IO_L16N_T2_A15_D31_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AA18,IO_L17P_T2_A14_D30_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,AB18,IO_L17N_T2_A13_D29_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U17,IO_L18P_T2_A12_D28_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,U18,IO_L18N_T2_A11_D27_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P14,IO_L19P_T3_A10_D26_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,R14,IO_L19N_T3_A09_D25_VREF_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,R18,IO_L20P_T3_A08_D24_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,T18,IO_L20N_T3_A07_D23_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N17,IO_L21P_T3_DQS_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P17,IO_L21N_T3_DQS_A06_D22_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P15,IO_L22P_T3_A05_D21_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,R16,IO_L22N_T3_A04_D20_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N13,IO_L23P_T3_A03_D19_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N14,IO_L23N_T3_A02_D18_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,P16,IO_L24P_T3_A01_D17_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,R17,IO_L24N_T3_A00_D16_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N15,IO_25_14,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J16,IO_0_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H13,IO_L1P_T0_AD0P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G13,IO_L1N_T0_AD0N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G15,IO_L2P_T0_AD8P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G16,IO_L2N_T0_AD8N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J14,IO_L3P_T0_DQS_AD1P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H14,IO_L3N_T0_DQS_AD1N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G17,IO_L4P_T0_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G18,IO_L4N_T0_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J15,IO_L5P_T0_AD9P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H15,IO_L5N_T0_AD9N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H17,IO_L6P_T0_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H18,IO_L6N_T0_VREF_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J22,IO_L7P_T1_AD2P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H22,IO_L7N_T1_AD2N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H20,IO_L8P_T1_AD10P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,G20,IO_L8N_T1_AD10N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K21,IO_L9P_T1_DQS_AD3P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K22,IO_L9N_T1_DQS_AD3N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M21,IO_L10P_T1_AD11P_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L21,IO_L10N_T1_AD11N_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J20,IO_L11P_T1_SRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J21,IO_L11N_T1_SRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J19,IO_L12P_T1_MRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,H19,IO_L12N_T1_MRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K18,IO_L13P_T2_MRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K19,IO_L13N_T2_MRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L19,IO_L14P_T2_SRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L20,IO_L14N_T2_SRCC_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N22,IO_L15P_T2_DQS_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M22,IO_L15N_T2_DQS_ADV_B_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M18,IO_L16P_T2_A28_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L18,IO_L16N_T2_A27_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N18,IO_L17P_T2_A26_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N19,IO_L17N_T2_A25_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,N20,IO_L18P_T2_A24_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M20,IO_L18N_T2_A23_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K13,IO_L19P_T3_A22_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K14,IO_L19N_T3_A21_VREF_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M13,IO_L20P_T3_A20_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L13,IO_L20N_T3_A19_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K17,IO_L21P_T3_DQS_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,J17,IO_L21N_T3_DQS_A18_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L14,IO_L22P_T3_A17_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L15,IO_L22N_T3_A16_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,L16,IO_L23P_T3_FOE_B_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,K16,IO_L23N_T3_FWE_B_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M15,IO_L24P_T3_RS1_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M16,IO_L24N_T3_RS0_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,M17,IO_25_15,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,F15,IO_0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,F13,IO_L1P_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,F14,IO_L1N_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,F16,IO_L2P_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E17,IO_L2N_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C14,IO_L3P_T0_DQS_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C15,IO_L3N_T0_DQS_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E13,IO_L4P_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E14,IO_L4N_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E16,IO_L5P_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,D16,IO_L5N_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,D14,IO_L6P_T0_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,D15,IO_L6N_T0_VREF_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,B15,IO_L7P_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,B16,IO_L7N_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C13,IO_L8P_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,B13,IO_L8N_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,A15,IO_L9P_T1_DQS_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,A16,IO_L9N_T1_DQS_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,A13,IO_L10P_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,A14,IO_L10N_T1_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,B17,IO_L11P_T1_SRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,B18,IO_L11N_T1_SRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,D17,IO_L12P_T1_MRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C17,IO_L12N_T1_MRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C18,IO_L13P_T2_MRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,C19,IO_L13N_T2_MRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
U1,E19,IO_L14P_T2_SRCC_16,FPGA physical pins,UNRESOLVED,XC7A200T device selection confirmed by user on 2026-09-21; 484 physical pins verified; bank/application plan incomplete
